Artist,Title,Lyrics
FFDP,Ashes,"   Right Hate, hate, hate! Bring it!  You don't understand me And you probably never will I got a tendency to self-destruct And a soft spot for the filth A hair-trigger temperament A switchblade for a tongue I'm a walking one-man genocide With a black belt in corrupt  Everything I touch turns to ashes Falls away, it falls away Everything I touch turns to ashes It slips right through my hands  Love me, hate me Isolate me every day that I'm alive Straight-up mentally unstable You don't have to like my life  I'm a jinx, a curse; some say, ""The worst"" I'm a savage, rabid beast I've been called so many fucking things It doesn't affect me in the least! I've stolen, lied, been crucified But I don't regret a thing I'm an egocentric masochist With a sadist's point of bleak  Everything I touch turns to ashes Falls away, it falls away Everything I touch turns to ashes It slips right through my hands  Love me, hate me Isolate me every day that I'm alive Live to prove you wrong, it's easy When your heart is filled with ice Chapters in my life define me Changed me into this deprived Straight-up mentally unstable You don't have to like my life  Everything I touch turns to ashes Falls away, it falls away Everything I touch turns to ashes It slips right through my hands "
FFDP,The_Way_Of_The_Fist,"   Break this shit down! Zoltan, open the sky!  You want it, you got it Everything you needed and more You said it; I heard it Careful what you wish for Deleted, defeated, everything you've ever been No mercy, it's the way of the fist  Strapped with rage, got no patience for victims Sick and tired of the whole fuckin' world  I don't remember asking you about your imperfections You might win one battle But know this: I'll win the fucking war!  End of the goddamn road! (Right!)  Step to me, step to me, motherfucker Zip your lip, you've run out of time Step to me, step to me, motherfucker Talk the talk now, walk the damn line  Deserve it; you earned it, got yourself a fuckin' war Believe it; you need it, facedown on the fuckin' floor I hate it; can't take it Wanna break your fuckin' bones No mercy, you faggot Should've left it all alone  Strapped with rage; got no patience for victims Sick and tired of the whole fuckin' world  I don't remember asking you about your imperfections You might win one battle But know this: I'll win the fucking war!  As you crash and burn One, two, fuck you! (Right!)  Step to me, step to me, motherfucker Zip your lip, you've run out of time Step to me, step to me, motherfucker Talk the talk; now walk the damn line Step to me, step to me, motherfucker Shut your face; it's your turn to die Step to me, step to me, anybody Talk the shit, your ass is mine  I don't remember asking you about your imperfections You might win one battle But know this: I'll win the fucking war! "
FFDP,Salvation,"   Disgusted by your weakness You have no right to live To know you is to hate you But your life's yours to give  You monkey see, you monkey do You're always doing what they tell you to You're such a puppet on a string You don't get it!  I won't bow to something that I've never seen Can't believe in something that doesn't believe in me I'm not blood of your blood, I'm no son of your god I've no faith in your fate Still I find salvation  You think you have the answers to every last detail In your eyes, you're the victor In mine you've all but failed  You monkey see, you monkey do You're always doing what they tell you to You're like a puppet on a string You don't get it! You monkey see, you monkey do You're always doing what they tell you to You're like a puppet on a string You don't get it!  I won't bow to something that I've never seen Can't believe in something that doesn't believe in me I'm not blood of your blood, I'm no son of your god I've no faith in your fate Still I find salvation Still I find salvation Still I find salvation "
FFDP,The_Bleeding,"   I remember when all the games began Remember every little lie and every last goodbye Promises you broke, words you choked on And I never walked away It's still a mystery to me  Well, I'm so empty I'm better off without you and you're better off without me Well, you're so unclean I'm better off without you and you're better off without me  The lying, the bleeding, the screaming Was tearing me apart The hatred (deceiving), the beatings; it's over  Paint the mirrors black to forget you I still picture your face (still picture your face) And the way you used to taste (way you used to taste) Roses in a glass, dead and wilted To you, this all was nothing Everything to you is nothing  Well, you're so filthy I'm better off without you and you're better off without me Well, I'm so ugly You're better off without me and I'm better off alone (Right!)  The lying, the bleeding, the screaming Was tearing me apart The hatred, the beatings (disaster); it's over  (Why?) As wicked as you are You're beautiful to me (Why?) You're the darkest burning star You're my perfect disease  The lying, the bleeding, the screaming Was tearing me apart The hatred, the beatings; it's over Disaster The lying, the bleeding, the screaming Was tearing me apart The hatred, the beatings; it's over Disaster  It's over now "
FFDP,A_Place_To_Die,"   It's days like this I wish that Wish that I had stayed asleep It's times like these that make it So difficult to be The light at the end, the crack in the sky There's no promise for release No way for me to get away And all I'm trying to do is breathe  Searching... for something more Searching... for something right Searching... for a sense of clarity Searching... for a place to die!  Days like this, I really wish I really wish I wasn't me It's times like this that make it hard Makes it hard to fuckin' see No light at the end, no crack in the sky Everyone ends up deceased A life like mine makes a man Turns a grown man to a flea  Searching... for something more Searching... for something right Searching... for a sense of clarity Searching... for a place to die!  Piece by piece, I slowly fade away I slowly drift apart I see a different world, closing in on the future Sorry to be so cynical, but it's all I know Piece by piece, I slowly start to change I slowly start to change!  It's days like this I wish that I Wish that I had stayed asleep It's times like these that make it So difficult to be No light at the end, no crack in the sky Everyone ends up deceased A life like mine makes a man Turns a grown man to a flea  Searching... for something more Searching... for something right Searching... for a sense of clarity Searching... for a place to die!  Searching for a place to die! "
FFDP,The_Devil's_Own,"   The Devil's own Why!?  Where did I go wrong? Who was I supposed to be? No matter what I've done, you've always criticized me Where did I go wrong? Who was I supposed to be? When it's said and done, will you remember  Slap on the wrist, smack in the face The family tree, gave me a name and nothing more Neglected seed, why!?  It's because of you I'm broken It's because of you I'm dead inside I never asked to be here It's because of you I'm godforsaken I never wanted this It's because of you I'm dead inside  Where did I go wrong? Who was I supposed to be? No matter what I've done, you've always criticized me What did I do wrong? What was I supposed to be? When it's said and done, will you remember me?  A happy home, a fairy tale, a broken dream Gave me a life, then turned away Killed everything, why!?  It's because of you I'm broken It's because of you I'm dead inside I never asked to be here It's because of you I'm godforsaken I never wanted this It's because of you I'm dead inside  Fuck! Father, bastard, I'm the Devil's very own Mother, know not, just who I've become Father, hate me, for being all you're not Mother's baby, I hate what I've become I hate what I've become I hate what I've become  It's because of you I'm broken It's because of you I'm dead inside  Where did I go wrong? Who was I supposed to be? No matter what I've done, you've always criticized me What did I do wrong? What was I supposed to be? When it's said and done, will you remember me? "
FFDP,White_Knuckles,"   Oh, fuck it all!  Sick of being sick and tired, sick of understanding (Fuck it all...) Tired of feeling sick to my stomach Demons inside command me They're saying, ""Crush it, break it, smash it Fucking kill 'em all!"" Laugh as it falls away I won't dodge another silver bullet Just to save a little face  I want you to know, I want you to see I want you to look beyond your own eyes Past your afflictions  How many people really care? How many will be standing? I'll light the match, the flame, the fuse, the bomb Rescue the world from slavery I wanna torch it, burn it, scorch it, fuckin' stomp it out Laugh as it blows away I won't eat another rotten apple Though I've grown to like the taste  I want you to know, I want you to see I want you to look beyond your own eyes Past your afflictions I want you to hurt, want you to bleed I want you to look beyond your own face Past your infections  I'm taking back control with my knuckles I'm taking back control with my knuckles I'm taking back control with my knuckles I'm taking back control with my knuckles  Smash it, burn it, break it, kill it Fuck 'em all!  I want you to know, I want you to see I want you to look beyond your own eyes Past your afflictions I want you to hurt, want you to bleed I want you to look beyond your own face Past your infections "
FFDP,Can't_Heal_You,"   The deeper you get, the farther you fall down The closer I get, the more you dissolve  You're lost inside, your pale addictions Bury you, with the demons in the ash  Can't heal you, don't want to 'Cause you can't save your-fuckin'-self Can't heal you, don't need to 'Cause you won't save yourself  You are the one who made the decision Stuck in a prison, shattered and broken I am the one who, expected to heal you, save you from drowning in your endless nightmare Blessed be, the disillusioned The banished misfit and the cursed hollow son  Can't heal you, I don't want to 'Cause you can't save your-fuckin'-self Can't heal you, don't need to 'Cause you won't save yourself  We're taught to perish but fade away Become the haunted and die as slaves  Can't heal you, I don't want to 'Cause you can't save yourself Can't heal you, don't need to 'Cause you won't save yourself Can't heal you, I don't want to 'Cause you can't save your-fuckin'-self Can't heal you, don't need to 'Cause you won't save yourself "
FFDP,Death_Before_Dishonor,"   To the haters, the takers, the liars, all the vultures and the bottom-feeding scum The FCC, the FBI and every tin god with a badge and a gun You talk and talk, you preach and bitch but your words don't mean a thing You get what you give, you give what you get Just the way it's always been  I choose death before dishonor I'd rather die than live down on my knees Bury me like a soldier, with my dignity!  You imitate the ostracized, put your head beneath the sand Your cup it runneth over, must be rough to live so grand You reap what you sow, you pay what you owe unless you bathe yourself in greed You rob and you take, your world is fake There's no honor amongst the thieves  I choose death before dishonor I'd rather die than live down on my knees Bury me like a soldier, with my dignity!  Fuck! You're self-righteous, self-pretentious Your ways are not for me You're deluded, so confused Your world I dominate  I choose death before dishonor I'd rather die than live down on my knees Bury me like a soldier  Bury me! (Bury me!) Bury me! (Bury me!) Bury me!  With my dignity! "
FFDP,Meet_The_Monster,"   It's not that complicated and you ain't gotta believe They'll put me down in a hole before I let you succeed I've never been complacent, I can't afford to be I know you think you're special but you ain't nothin'  Can you read between the lines? Or are you stuck in black and white? Hope I'm on the list of people that you hate It's time you met the monster that you have helped create Boo!  You've pushed me one too many times I'm sick of all of the fiction, we're gonna settle it You've pushed me one too many times I'm sick of all of the shit, I'm gonna settle it!  It's not that complicated and you ain't gotta believe They'll put me down in a hole before I let you succeed I've never been complacent, I can't afford to be I know you think you're special but you ain't nothin'  Well there's nothing you can say to me now And there's nothing you can do to stop me It's hard not to be a menace to society When half the population is happy on their knees  You've pushed me one too many times I'm sick of all of the fiction, we're gonna settle it You've pushed me one too many times I'm sick of all of the shit, I'm here to settle it!  'Cause I can't take it anymore I refuse to live this way It's not that I don't care enough, it's not that I can't see It's everything inside of me that won't let me be you It won't let me be you!  It's not that complicated and you ain't gotta believe They'll put me down in a hole before I let you succeed I've never been complacent, I can't afford to be I know you think you're special but you ain't nothin' No, you ain't nothin' And you'll never succeed I know you think you're special But you ain't nothin'  But you ain't nothin'! "
FFDP,Hate_Me,"   It's not enough It's not enough It never was or will be I never had the chance to thank you (For ripping out my heart)  It's not enough It's not enough It never was or will be I never got the chance to say (Fuck you)  I don't want to be your tourniquet For minor lacerations Don't wanna be your Romeo Because you're no goddamn Juliet (You always did know just what to say; insult and injury) (You just love to hate me!)  It's not enough It's not enough It never was or will be I never had the chance to thank you (For ripping out my heart)  It's not enough It's not enough It never was or will be I never got the chance to say (Fuck you)  You've got a gun I've got a gun Let's write a tragic ending Don't wanna be this way again Don't wanna be the one to blame (You can have the high roads; I'll take the lows, disguise the frailty) (I just love to hate you!)  It's not enough It's not enough It never was or will be I never had the chance to thank you (For ripping out my heart)  It's not enough It's not enough It never was or will be I never got the chance to say (Fuck you)  (You just love to hate me!) It's not enough It's not enough It never was or will be I never had the chance to thank you (For ripping out my heart)  It's not enough It's not enough It never was or will be I never got the chance to say (Fuck you) "
