Artist,Title,Lyrics
OfficialRezz,Lost,"   What a beautiful world to be anything but alone I can't find a cure, I'm solely losing control How am I supposed to feel when nothing seems real? Who I'm supposed to be when everything I love falls away from me  Why did you chase me if you would erase me? Why would you hold me just to watch me drown? Why would you taste me, slither and snake me? Why would you morph me, oh, tell me, am I lost?  Am I lost, am I lost, am I lost, am I lost Am I lost, am I lost, am I lost Oh, is the darkness fond of me? Am I lost, am I lost, am I lost, am I lost Am I lost, am I lost, am I lost Oh, this is where I'm meant to be  Soften me once more with those mesmerizing eyes Twist around your tongue, clouding me with lies I cut myself open to give it all to you Let you poison my thinking And you love it, I know you do  Why did you chase me if you would erase me? Why would you hold me just to watch me drown? Why would you taste me, slither and snake me? Why would you morph me, oh, tell me, am I lost?  Why did you chase me if you would erase me? Why would you hold me just to watch me drown? Why would you taste me, slither and snake me? Why would you morph me, oh, tell me, am I lost?  Am I lost, am I lost, am I lost, am I lost Am I lost, am I lost, am I lost? Oh, is the darkness fond of me? Am I lost, am I lost, am I lost, am I lost Am I lost, am I lost, am I lost Oh, this is where I'm meant to be "
OfficialRezz,Melancholy,   All these thoughts are running through my head I can't control it they are taking me down with them Wish I knew why I am haunted It would be easier to try and start again  And I'd feel like new In a world I'm used to hiding from I'd feel brand new I would know where I stand  All these thoughts are running through my head Head Running through my head Head My head  Wondering if my intentions Will soon replace what is in front of me here and now There is something underlying The melancholy in my mind Lost in the clouds  And I'd feel like new If I could get out of the rainstorms And this would be through I will hold on till then  All these thoughts are running through my head Head Running through my head Head My head 
OfficialRezz,Relax,"   Just take a nice breath in. Exhale the breath Just allow yourself now to relax more and more Because the nicest thing about hypnosis Is that wonderful feeling of physical and mental relaxation That can bounce throughout your entire body Because from this moment in time There's nothing, nothing of importance for you to do Except relax  Relax Rela-la-la- Rela-la-la- Rela-la-la- Rela-la-la-  Just take a nice breathe in. Exhale the breath Just allow yourself now to relax more and more Because the nicest thing about hypnosis Is that wonderful feeling of physical and mental relaxation That can bounce throughout your entire body Because from this moment in time There's nothing, nothing of importance for you to do Except relax  Relax "
OfficialRezz,Life_&_Death,"   Life and Death Death Death  Life Death Life Death  Life and death, death Death Death Death  Life Death Life Death  Life and Death "
OfficialRezz,Toxin,"   You're lovely, but looks can kill You're a septic cloud, but I'm breathing still It's not right, you take it all Still I listen, and return your call Oh  Toxin, got my temperature rising Our love finally taking its toll It's incredible how quickly I lost me And I just can't take you no more  You're lowly, you drag me down Just burned up ash left on the ground No vision, you've made me blind Smoke signals burn into my eyes Oh  Toxin, got my temperature rising Our love finally taking its toll It's incredible how quickly I lost me And I just can't take you no more  Na na na, na na na na Nananana, na na na na "
OfficialRezz,Falling,"   Is it enough that I feel like I'm falling? Is it enough that I can't stay?  I don't wanna be like this I don't wanna be like this I don't wanna be like this I don't wanna be like this I don't wanna be like this  Is it enough that I feel like I'm falling?  Caught in the middle This is the middle Caught in the middle This is who I wanna be Caught in the middle This is the middle Caught in the middle This is who I wanna be  Suffer like this Suffer like this Suffer like this Suffer like  Is it enough that I feel like I'm falling? Is it enough that I can't stay?  This is what it's like to be who you wanna be You wanna be, you wanna be This is what it's like to be who you wanna be Caught in the middle This is what it's like to be who you wanna be You wanna be, you wanna be This is what it's like to be who you wanna be Caught in the middle  Caught in the middle This is the middle Caught in the middle This is who I wanna be Caught in the middle This is the middle Caught in the middle This is who I wanna be "
OfficialRezz,Kiss_Of_Death,   Kiss of Death Kiss of Death Kiss of Death Kiss of Stop  Kiss of  Kiss of Death Kiss of Death Kiss of Death Kiss of Death Kiss of Stop  Kiss of Death 
OfficialRezz,Stress,   I know how to undo all the straps that Keep you messed up Keep you stressed up It's a rescue  Guess you screwed up Cause you're mine now Cause you're mine now Cause you're mine now Cause you're mine now  I know how to undo all the straps that Keep you messed up Keep you stressed up It's a rescue  Guess you screwed up Cause you're mine now Cause you're mine now Cause you're mine now Cause you're mine now  I'm so stressed out I'm so stressed out I'm so stressed out I'm so stressed out I'm so stressed out I'm so stressed out I'm so stressed out I'm so stressed out 
OfficialRezz,Your_Soul_Will_Never_Be_Released,   Your soul will never be released 
OfficialRezz,Lonely,   Little pieces come my way You say it's just my crazy Little voices feed my pain I feel I've lost my baby  Won't you say my name (Won't you say my name) Say it loud like you know me Somethings not the same (Somethings not the same) You're not here when you hold me Won't you say my name (Won't you say my name) Say it loud like you hold me This is feeling strange You're not here when I'm lonely  Standing but I don't feel pain You hold the knife that slays me Least you know it's not too late You have the power to raise me  Won't you say my name (Won't you say my name) Won't you say my name (Won't you say my name) Won't you say my name (Won't you say my name) You're not here when I'm lonely 
OfficialRezz,Let_Me_In,"   I shed all my disguises Slipped deep into the silence I've been Haunted by where you have me My self-control is crashing oh Can't make these feelings go  So I'll lie awake again Each night I play pretend I toss and turn, I ache and yearn For rules to bend For you to let me in You to let me in  Haunted by where you have me My self-control is crashing oh Can't make these feelings go So I'll lie awake again Each night I play pretend I toss and turn, I ache and yearn For rules to bend For you to let me in For you to let me in  Surrendered all my violence Fell deep into your quiet I've been Haunted your grip could break me Locked in your gaze I'm shaking Oh Can't make these feelings go So I'll lie awake again Each night I play pretend I toss and turn, I ache and yearn For rules to bend For you to let me in  Haunted by where you have me My self-control is crashing oh Can't make these feelings go So I'll lie awake again Each night I play pretend I toss and turn, I ache and yearn For rules to bend For you to let me in To let me in You to let me in "
OfficialRezz,Sacrificial,"   Only in the dark, I See it in a true light Baby, you could be my downfall End of my life Mission's not right Maybe I don't see him, maybe I'm blind We made a deal with the devil But we're doing fine  I feel it all the time The heavy weight of your love I'd put it on the line I would give it up  I know now Baby, it's official, this is sacrificial Like, oh wow Baby, we're competin' with a sacrifice  Baby, it's official, this is sacrificial  I think it's a sure sign We should be runnin' with the divine Baby, we could reach the heavens Or dance in hellfire And if they say it's alright I don't wanna see you, wanna stay blind 'Cause you feel like an angel And we're doin' fine  I feel it all the time The heavy weight of your love I'd put it on the line I would give it right up  I know now Baby, it's official, this is sacrificial Like, oh wow Baby, it's official, this is sacrificial  Like, oh wow (Baby, it's official, this is sacrificial) (Baby, it's official, this is sacrificial) Baby, we're competin' with a sacrifice  Baby, it's official, this is sacrificial Like, oh wow Like, oh wow Baby, we're competin' with a sacrifice  Baby, we're competin' with a sacrifice "
OfficialRezz,Paper_Walls,"   And here's my stop, just drop me off And I'll walk the last few hours of night Missing sacred things I had to Leave behind, to solo travel light  I suppose we'll see, start again where we Left off, I can't see how We can ask the past to take us back But it won't, we're too far gone now  Some other world, some other life Some other place, some paradise My fortress made of paper walls And my defenses had to fall Some other world, some other life Some other place, some paradise Somehow the years drove us apart I never could protect your heart  Some other world, some other life Some other place, some paradise My fortress made of paper walls And my defenses had to fall Some other world, some other life Some other place, some paradise Somehow the years drove us apart I never could protect your heart  Every word I say sounds world away From where on earth you've gone A facade, it cracks, like a plastic mask When we talk of moving on  I suppose we'll see, start again where we Left off, I can't say when We can ask the past to take us back But it won't, I'm not that girl I was then  Some other time, some other time Some other world, some other life  Some other world, some other life Some other place, some paradise My fortress made of paper walls And my defenses had to fall Some other world, some other life Some other place, some paradise Somehow the years drove us apart I never could protect your heart  Some other world, some other life Some other place, some paradise My fortress made of paper walls And my defenses had to fall Some other world, some other life Some other place, some paradise Somehow the years drove us apart I never could protect your heart "
OfficialRezz,Out_Of_My_Head,"   Shadows, they fall on me They know, they admit I saw your face again and again Am I pretend  When I close my eyes for the life-time I will sing to you from the night-sky Swarm of demons living in my life Get out of my head Get out of my head Get out of my head  Of my head Get out of my head Head, head Head, head Get out of my head  Shadows, they're calling me When I'm not safe They're gonna hold on me It's driving me insane  When I close my eyes for the life-time I will sing to you from the night-sky Swarm of demons living in my life Get out of my head Get out of my head Get out of my head  Of my head Get out of my head (Head, head Head, head) Get out of my head  Of my head Get out of my head (Head, head Head, head) Get out of my head "
